transaction_id,timestamp,amount,status,reason,branch_id,city
TXNBAN10073,2025-04-01 05:52:00,820.2,FAILED,Account Closed,BR_BAN_01,Bangalore
TXNBAN10082,2025-04-05 23:55:00,2608.51,FAILED,Account Closed,BR_BAN_01,Bangalore
TXNBAN10093,2025-04-07 02:12:00,4652.04,FAILED,Account Closed,BR_BAN_01,Bangalore
TXNBAN20001,2025-04-02 05:04:00,2215.64,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20020,2025-04-07 01:08:00,2317.82,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20026,2025-04-07 00:03:00,3911.25,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20035,2025-04-01 09:15:00,2637.08,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20061,2025-04-03 00:52:00,470.44,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20064,2025-04-03 14:31:00,1016.83,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20066,2025-04-07 07:49:00,3697.76,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN20071,2025-04-02 18:41:00,223.21,FAILED,Account Closed,BR_BAN_02,Bangalore
TXNBAN30034,2025-04-02 19:25:00,4080.15,FAILED,Account Closed,BR_BAN_03,Bangalore
TXNBAN30036,2025-04-05 01:37:00,273.84,FAILED,Account Closed,BR_BAN_03,Bangalore
TXNBAN30054,2025-04-04 08:34:00,970.48,FAILED,Account Closed,BR_BAN_03,Bangalore
TXNBAN30080,2025-04-06 16:38:00,242.93,FAILED,Account Closed,BR_BAN_03,Bangalore
TXNBAN40002,2025-04-02 04:13:00,4910.37,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40026,2025-04-07 10:19:00,155.62,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40058,2025-04-07 00:55:00,299.4,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40059,2025-04-06 00:39:00,4453.39,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40070,2025-04-05 00:28:00,4567.41,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40078,2025-04-01 00:04:00,4587.06,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40082,2025-04-05 15:51:00,4997.08,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40089,2025-04-01 00:08:00,2363.93,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN50004,2025-04-05 11:11:00,3506.86,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50012,2025-04-03 07:47:00,1533.08,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50018,2025-04-07 09:35:00,4260.91,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50025,2025-04-03 19:46:00,2206.27,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50033,2025-04-07 19:39:00,4000.32,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50050,2025-04-01 13:34:00,1843.14,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50057,2025-04-02 07:54:00,3251.51,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50064,2025-04-04 05:01:00,4647.29,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50070,2025-04-04 09:57:00,3660.58,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50071,2025-04-07 15:32:00,4260.19,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNBAN50081,2025-04-05 21:14:00,2088.55,FAILED,Account Closed,BR_BAN_05,Bangalore
TXNDEL10000,2025-04-02 05:04:00,1944.89,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10006,2025-04-07 15:57:00,4338.51,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10021,2025-04-01 04:23:00,465.16,FAILED,Account Closed,BR_DEL_01,Delhi
