transaction_id,timestamp,amount,status,reason,branch_id,city
TXNBAN40000,2025-04-04 09:06:00,4646.48,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40001,2025-04-05 02:38:00,2037.84,FAILED,Network Error,BR_BAN_04,Bangalore
TXNBAN40002,2025-04-02 04:13:00,4910.37,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40003,2025-04-03 05:44:00,687.25,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40004,2025-04-04 03:35:00,518.12,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40005,2025-04-02 12:09:00,3284.43,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40006,2025-04-06 05:35:00,4517.1,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40007,2025-04-03 13:08:00,4413.43,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40008,2025-04-02 01:30:00,1973.72,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40009,2025-04-01 12:40:00,1423.76,FAILED,Network Error,BR_BAN_04,Bangalore
TXNBAN40010,2025-04-03 12:18:00,3748.91,FAILED,Invalid PIN,BR_BAN_04,Bangalore
TXNBAN40011,2025-04-01 03:51:00,2410.99,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40012,2025-04-06 00:04:00,4164.87,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40013,2025-04-02 01:33:00,3431.51,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40014,2025-04-01 18:33:00,1995.38,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40015,2025-04-05 10:48:00,544.28,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40016,2025-04-02 19:58:00,2098.24,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40017,2025-04-01 20:08:00,3271.19,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40018,2025-04-02 02:19:00,1596.17,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40019,2025-04-01 14:58:00,2213.26,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40020,2025-04-04 20:13:00,2612.94,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40021,2025-04-05 13:10:00,881.59,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40022,2025-04-03 21:32:00,807.01,FAILED,Network Error,BR_BAN_04,Bangalore
TXNBAN40023,2025-04-03 20:09:00,4054.71,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40024,2025-04-02 00:46:00,3687.67,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40025,2025-04-06 01:37:00,2138.5,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40026,2025-04-07 10:19:00,155.62,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40027,2025-04-04 01:45:00,2326.62,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40028,2025-04-01 00:32:00,4683.65,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40029,2025-04-02 13:15:00,4588.32,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40030,2025-04-01 22:22:00,223.68,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40031,2025-04-07 20:42:00,4071.49,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40032,2025-04-01 01:38:00,2858.89,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40033,2025-04-03 05:14:00,4709.34,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40034,2025-04-05 12:35:00,2835.05,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40035,2025-04-03 20:57:00,2588.99,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40036,2025-04-07 18:11:00,2116.12,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40037,2025-04-01 11:53:00,3267.32,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40038,2025-04-01 15:56:00,1043.75,FAILED,Network Error,BR_BAN_04,Bangalore
TXNBAN40039,2025-04-01 20:38:00,1619.53,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40040,2025-04-01 14:13:00,1413.13,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40041,2025-04-02 03:38:00,1607.94,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40042,2025-04-05 04:37:00,476.78,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40043,2025-04-04 04:48:00,3946.41,FAILED,Invalid PIN,BR_BAN_04,Bangalore
TXNBAN40044,2025-04-01 14:11:00,1811.24,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40045,2025-04-04 11:35:00,3877.82,FAILED,Network Error,BR_BAN_04,Bangalore
TXNBAN40046,2025-04-05 09:34:00,402.24,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40047,2025-04-03 02:34:00,2963.26,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40048,2025-04-07 18:58:00,117.37,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40049,2025-04-07 11:01:00,2702.15,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40050,2025-04-01 00:26:00,2987.22,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40051,2025-04-03 06:19:00,1424.4,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40052,2025-04-04 02:53:00,3872.79,FAILED,Invalid PIN,BR_BAN_04,Bangalore
TXNBAN40053,2025-04-07 01:13:00,1975.05,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40054,2025-04-06 19:45:00,1058.96,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40055,2025-04-01 18:29:00,211.08,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40056,2025-04-01 19:53:00,2583.65,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40057,2025-04-03 15:02:00,1501.99,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40058,2025-04-07 00:55:00,299.4,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40059,2025-04-06 00:39:00,4453.39,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40060,2025-04-05 07:53:00,2494.54,FAILED,Invalid PIN,BR_BAN_04,Bangalore
TXNBAN40061,2025-04-02 21:22:00,4413.53,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40062,2025-04-04 12:52:00,2828.11,FAILED,Insufficient Funds,BR_BAN_04,Bangalore
TXNBAN40063,2025-04-03 22:25:00,2539.2,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40064,2025-04-01 12:55:00,499.71,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40065,2025-04-05 06:15:00,1015.23,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40066,2025-04-02 21:47:00,4878.57,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40067,2025-04-01 20:38:00,1796.17,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40068,2025-04-02 00:03:00,4665.15,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40069,2025-04-07 19:31:00,600.91,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40070,2025-04-05 00:28:00,4567.41,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40071,2025-04-02 17:51:00,4082.07,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40072,2025-04-02 04:16:00,588.31,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40073,2025-04-02 23:31:00,4586.89,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40074,2025-04-04 02:27:00,2485.96,FAILED,Authentication Failed,BR_BAN_04,Bangalore
TXNBAN40075,2025-04-04 03:34:00,1003.68,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40076,2025-04-07 12:09:00,4708.84,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40077,2025-04-03 05:48:00,4073.53,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40078,2025-04-01 00:04:00,4587.06,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40079,2025-04-05 05:45:00,3919.22,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40080,2025-04-01 07:37:00,174.46,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40081,2025-04-06 23:50:00,260.53,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40082,2025-04-05 15:51:00,4997.08,FAILED,Account Closed,BR_BAN_04,Bangalore
TXNBAN40083,2025-04-01 04:38:00,2319.71,FAILED,Card Expired,BR_BAN_04,Bangalore
TXNBAN40084,2025-04-05 14:48:00,1299.76,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40085,2025-04-02 10:16:00,4854.02,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40086,2025-04-01 17:46:00,4624.46,SUCCESS,,BR_BAN_04,Bangalore
TXNBAN40087,2025-04-01 03:44:00,762.97,SUCCESS,,BR_BAN_04,Bangalore
