transaction_id,timestamp,amount,status,reason,branch_id,city
TXNDEL10000,2025-04-02 05:04:00,1944.89,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10001,2025-04-04 04:40:00,2385.35,FAILED,Insufficient Funds,BR_DEL_01,Delhi
TXNDEL10002,2025-04-04 00:26:00,1426.64,FAILED,Authentication Failed,BR_DEL_01,Delhi
TXNDEL10003,2025-04-01 14:36:00,3897.51,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10004,2025-04-05 23:11:00,2460.58,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10005,2025-04-02 01:14:00,1955.91,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10006,2025-04-07 15:57:00,4338.51,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10007,2025-04-06 23:06:00,3965.72,FAILED,Network Error,BR_DEL_01,Delhi
TXNDEL10008,2025-04-07 16:04:00,2239.8,FAILED,Card Expired,BR_DEL_01,Delhi
TXNDEL10009,2025-04-01 17:24:00,1620.45,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10010,2025-04-02 05:17:00,3209.84,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10011,2025-04-07 17:57:00,3810.66,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10012,2025-04-01 06:41:00,3018.28,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10013,2025-04-04 14:06:00,2089.94,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10014,2025-04-02 03:19:00,2014.97,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10015,2025-04-07 11:52:00,828.08,FAILED,Authentication Failed,BR_DEL_01,Delhi
TXNDEL10016,2025-04-05 23:19:00,312.77,FAILED,Card Expired,BR_DEL_01,Delhi
TXNDEL10017,2025-04-07 08:31:00,1674.32,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10018,2025-04-03 10:35:00,4526.36,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10019,2025-04-01 07:10:00,3951.44,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10020,2025-04-06 14:31:00,699.72,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10021,2025-04-01 04:23:00,465.16,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10022,2025-04-05 12:50:00,1913.31,FAILED,Authentication Failed,BR_DEL_01,Delhi
TXNDEL10023,2025-04-01 14:08:00,1964.57,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10024,2025-04-05 05:40:00,4299.13,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10025,2025-04-04 02:26:00,1893.88,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10026,2025-04-04 18:34:00,4923.6,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10027,2025-04-07 17:36:00,1443.42,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10028,2025-04-02 22:24:00,4644.34,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10029,2025-04-04 17:00:00,1930.19,FAILED,Card Expired,BR_DEL_01,Delhi
TXNDEL10030,2025-04-02 00:28:00,4528.25,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10031,2025-04-01 06:54:00,1163.43,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10032,2025-04-07 17:40:00,202.94,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10033,2025-04-07 12:26:00,4718.4,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10034,2025-04-03 00:17:00,3256.37,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10035,2025-04-06 09:11:00,4711.71,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10036,2025-04-03 05:54:00,1061.41,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10037,2025-04-01 16:14:00,176.22,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10038,2025-04-07 03:28:00,2775.51,FAILED,Authentication Failed,BR_DEL_01,Delhi
TXNDEL10039,2025-04-06 01:22:00,2301.03,FAILED,Card Expired,BR_DEL_01,Delhi
TXNDEL10040,2025-04-05 23:18:00,3165.25,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10041,2025-04-04 11:47:00,2695.03,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10042,2025-04-01 11:03:00,265.96,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10043,2025-04-06 08:57:00,3170.87,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10044,2025-04-07 19:57:00,2916.29,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10045,2025-04-07 03:59:00,4562.65,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10046,2025-04-06 09:04:00,1858.75,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10047,2025-04-07 05:57:00,3282.85,FAILED,Account Closed,BR_DEL_01,Delhi
TXNDEL10048,2025-04-05 01:38:00,366.61,FAILED,Insufficient Funds,BR_DEL_01,Delhi
TXNDEL10049,2025-04-01 22:07:00,315.97,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10050,2025-04-04 14:33:00,3233.1,SUCCESS,,BR_DEL_01,Delhi
TXNDEL10051,2025-04-07 04:27:00,1976.78,FAILED,Insufficient Funds,BR_DEL_01,Delhi
TXNDEL10052,2025-04-05 19:57:00,3511.05,FAILED,Invalid PIN,BR_DEL_01,Delhi
TXNDEL10053,2025-04-06 03:01:00,3370.59,FAILED,Insufficient Funds,BR_DEL_01,Delhi
TXNDEL10054,2025-04-02 17:24:00,447.77,SUCCESS,,BR_DEL_01,Delhi
