transaction_id,timestamp,amount,status,reason,branch_id,city
TXNMUM40000,2025-04-07 21:48:00,4997.29,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40001,2025-04-04 08:12:00,2674.08,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40002,2025-04-05 18:43:00,2843.46,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40003,2025-04-02 04:36:00,290.74,FAILED,Authentication Failed,BR_MUM_04,Mumbai
TXNMUM40004,2025-04-05 07:41:00,1030.31,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40005,2025-04-02 07:13:00,536.08,FAILED,Network Error,BR_MUM_04,Mumbai
TXNMUM40006,2025-04-02 17:29:00,1583.64,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40007,2025-04-02 09:58:00,587.76,FAILED,Network Error,BR_MUM_04,Mumbai
TXNMUM40008,2025-04-05 06:31:00,3002.32,FAILED,Authentication Failed,BR_MUM_04,Mumbai
TXNMUM40009,2025-04-05 16:30:00,1889.42,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40010,2025-04-07 03:17:00,4696.27,FAILED,Account Closed,BR_MUM_04,Mumbai
TXNMUM40011,2025-04-01 03:28:00,452.17,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40012,2025-04-02 08:27:00,1670.23,FAILED,Network Error,BR_MUM_04,Mumbai
TXNMUM40013,2025-04-07 15:15:00,145.05,FAILED,Invalid PIN,BR_MUM_04,Mumbai
TXNMUM40014,2025-04-01 23:35:00,1153.77,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40015,2025-04-01 18:13:00,1934.09,FAILED,Card Expired,BR_MUM_04,Mumbai
TXNMUM40016,2025-04-02 19:28:00,1325.72,FAILED,Account Closed,BR_MUM_04,Mumbai
TXNMUM40017,2025-04-05 01:03:00,2521.36,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40018,2025-04-06 05:22:00,215.81,FAILED,Invalid PIN,BR_MUM_04,Mumbai
TXNMUM40019,2025-04-06 10:53:00,326.16,SUCCESS,,BR_MUM_04,Mumbai
TXNMUM40020,2025-04-04 08:34:00,2676.42,FAILED,Invalid PIN,BR_MUM_04,Mumbai
